scenario_type,scenario,status,criterion_failures,k,integer_cuts,group_n,best_weeks,recommended_times,avg_risk,rounded_avg_risk,regret_vs_exact,min_group_n
risk_parameter,正式设定,ok,,4.0,30|33|37,76|109|67|15,13.20|14.50|15.90|19.25,13周+1天|14周+4天|15周+6天|19周+2天,2.0054875044859117,2.00557225069834,6.130054170538912e-05,15.0
risk_parameter,风险梯度低(r_mid=2),ok,,3.0,32|37,152|100|15,15.90|19.05|23.30,15周+6天|19周+0天|23周+2天,1.719680694781584,1.7199465641519114,0.0004017603799506553,15.0
risk_parameter,风险梯度高(r_mid=5),no_feasible_k,k=1:C1;k=2:C1;k=3:C2;k=4:C2;k=5:C2;k=6:C2,,,,,,,,,
risk_parameter,低失联(q=0.05),ok,,3.0,34|37,217|35|15,12.20|14.35|15.90,12周+1天|14周+2天|15周+6天,1.7282693601023935,1.72842104348481,0.00029101155784827526,15.0
risk_parameter,高失联(q=0.15),ok,,4.0,30|33|37,76|109|67|15,14.85|15.90|17.90|21.60,14周+6天|15周+6天|17周+6天|21周+4天,2.221938757531123,2.2294806622371373,0.0,15.0
risk_parameter,短复检间隔(3.14周),no_feasible_k,k=1:C1;k=2:C1;k=3:C1;k=4:C2;k=5:C2;k=6:C2,,,,,,,,,
risk_parameter,长复检间隔(4.14周),ok,,4.0,31|34|37,123|94|35|15,13.50|14.60|16.60|18.70,13周+4天|14周+4天|16周+4天|18周+5天,1.9806399714445504,1.982233487651686,0.00019794950191354133,15.0
parameter_covariance_draw,参数抽样001,ok,,4.0,31|34|37,123|94|35|15,13.10|15.75|18.50|23.30,13周+1天|15周+5天|18周+4天|23周+2天,2.0354690406891605,2.035504937405914,5.584146759707309e-05,15.0
parameter_covariance_draw,参数抽样002,ok,,4.0,30|33|37,76|109|67|15,12.80|14.40|15.90|19.60,12周+6天|14周+3天|15周+6天|19周+4天,2.065323469534333,2.0654749347203114,0.00014363701726427536,15.0
parameter_covariance_draw,参数抽样003,ok,,3.0,32|37,152|100|15,14.50|15.90|19.05,14周+4天|15周+6天|19周+0天,2.082774888692685,2.0829339718845903,0.0005701479896398354,15.0
parameter_covariance_draw,参数抽样004,ok,,4.0,30|33|37,76|109|67|15,13.20|14.30|15.60|18.25,13周+1天|14周+2天|15周+4天|18周+2天,1.9468999334913546,1.946921352442672,2.8065136682853264e-05,15.0
parameter_covariance_draw,参数抽样005,ok,,4.0,31|34|37,123|94|35|15,13.20|14.45|15.45|17.90,13周+1天|14周+3天|15周+3天|17周+6天,1.8420746165898674,1.8431738797869077,8.338247292094536e-05,15.0
parameter_covariance_draw,参数抽样006,ok,,4.0,30|33|37,76|109|67|15,13.25|14.50|15.90|19.30,13周+2天|14周+4天|15周+6天|19周+2天,1.9566881640037175,1.9567522054846989,0.00036525680993748644,15.0
parameter_covariance_draw,参数抽样007,ok,,4.0,29|32|36,33|119|95|20,12.40|14.20|15.90|21.60,12周+3天|14周+1天|15周+6天|21周+4天,2.176621956201442,2.1866605625042053,0.0013495047460123644,20.0
parameter_covariance_draw,参数抽样008,ok,,4.0,31|34|37,123|94|35|15,13.70|15.90|18.35|23.10,13周+5天|15周+6天|18周+2天|23周+1天,2.046836123535026,2.0468938382545487,1.4674232502898121e-05,15.0
parameter_covariance_draw,参数抽样009,ok,,4.0,30|32|37,76|76|100|15,12.55|14.20|15.90|21.60,12周+4天|14周+1天|15周+6天|21周+4天,2.098730602171269,2.105528909804129,0.0009616339370865923,15.0
parameter_covariance_draw,参数抽样010,ok,,3.0,31|37,123|129|15,14.40|15.90|19.60,14周+3天|15周+6天|19周+4天,2.1008586831034974,2.101042722790159,0.000763862676782967,15.0
parameter_covariance_draw,参数抽样011,ok,,4.0,31|34|37,123|94|35|15,13.30|15.70|18.05|22.50,13周+2天|15周+5天|18周+0天|22周+4天,2.139647780434518,2.139662342568019,0.0017837299891989566,15.0
parameter_covariance_draw,参数抽样012,no_feasible_k,k=1:C1;k=2:C1/C2;k=3:C1/C2;k=4:C2;k=5:C2;k=6:C2,,,,,,,,,
parameter_covariance_draw,参数抽样013,ok,,3.0,31|35,123|111|33,14.35|15.60|17.90,14周+2天|15周+4天|17周+6天,2.4692109814573793,2.477788706017357,0.0010512256905927941,33.0
parameter_covariance_draw,参数抽样014,ok,,4.0,29|32|37,33|119|100|15,12.90|14.20|15.85|19.60,12周+6天|14周+1天|15周+6天|19周+4天,1.955656720280593,1.9575365463489764,0.0006576424708917283,15.0
