model,metric,n_boot,point_mean,bootstrap_design,median,ci_low,ci_high
forest_all_depth3,pr_auc,600,0.31832388852050897,random_cv_seed_then_mother_cluster,0.3278663854431848,0.20629644570193514,0.466639808737222
forest_all_depth3,roc_auc,600,0.7461872826626925,random_cv_seed_then_mother_cluster,0.7480700006845438,0.6634739434239122,0.8185049683039352
forest_all_depth3,sensitivity,600,0.6757575757575758,random_cv_seed_then_mother_cluster,0.6774193548387096,0.5343782654127481,0.8000704225352112
forest_all_depth3,specificity,600,0.7036885245901638,random_cv_seed_then_mother_cluster,0.707992642334295,0.6466737407918586,0.7653299734527957
forest_all_depth3,ppv,600,0.23602091085428994,random_cv_seed_then_mother_cluster,0.2363584691170898,0.16851745946309626,0.3141443577332148
forest_all_depth3,npv,600,0.9413508969910737,random_cv_seed_then_mother_cluster,0.941952506596306,0.9149448057374683,0.9672202868852459
forest_all_depth3,f1,600,0.3497235581517511,random_cv_seed_then_mother_cluster,0.3483495670995671,0.25921554601812113,0.4395672791938352
forest_all_depth3,brier,600,0.18172243723780432,random_cv_seed_then_mother_cluster,0.1811734020965143,0.16953068515645575,0.19292659728296158
logit_all,pr_auc,600,0.4815636842806842,random_cv_seed_then_mother_cluster,0.49286585140120687,0.32904677278764877,0.6273180689942404
logit_all,roc_auc,600,0.796901390958768,random_cv_seed_then_mother_cluster,0.7987256590620815,0.7156047532353812,0.864610826339682
logit_all,sensitivity,600,0.8303030303030303,random_cv_seed_then_mother_cluster,0.8333333333333334,0.6983630952380953,0.9375240384615384
logit_all,specificity,600,0.5762295081967214,random_cv_seed_then_mother_cluster,0.5705820646409184,0.5110972849223805,0.6546624770687689
logit_all,ppv,600,0.2096745091654984,random_cv_seed_then_mother_cluster,0.20701970443349754,0.15231221514365573,0.2785716111224698
logit_all,npv,600,0.9619006603858731,random_cv_seed_then_mother_cluster,0.9626516947970428,0.9359276760843613,0.9855659676882506
logit_all,f1,600,0.33464700529596453,random_cv_seed_then_mother_cluster,0.3313226744186047,0.2558883921179003,0.4219270477644318
logit_all,brier,600,0.08233389022237317,random_cv_seed_then_mother_cluster,0.08202738812286353,0.06440494573720637,0.10127313948129515
logit_z,pr_auc,600,0.12591635516167857,random_cv_seed_then_mother_cluster,0.13204606698248567,0.0914713632478773,0.19382684005609796
logit_z,roc_auc,600,0.5207960755091903,random_cv_seed_then_mother_cluster,0.5261442769542707,0.4342066003791803,0.6072509281194176
