category,metric,value,detail
size,row_count,605.0,
size,event_count,554.0,
size,mother_count,147.0,
size,technical_repeat_rows,51.0,
size,technical_repeat_events,32.0,
label,label_positive_events,66.0,
label,label_replicate_disagreement_events,5.0,
label,label_T13_positive_events,22.0,
label,label_T13_replicate_disagreement_events,1.0,
label,label_T18_positive_events,45.0,
label,label_T18_replicate_disagreement_events,4.0,
label,label_T21_positive_events,13.0,
label,label_T21_replicate_disagreement_events,1.0,
missing,z13,0.0,row_rate=0.000000
missing,z18,0.0,row_rate=0.000000
missing,z21,0.0,row_rate=0.000000
missing,zx,0.0,row_rate=0.000000
missing,x_conc,0.0,row_rate=0.000000
missing,gc,0.0,row_rate=0.000000
missing,gc13,0.0,row_rate=0.000000
missing,gc18,0.0,row_rate=0.000000
missing,gc21,0.0,row_rate=0.000000
missing,reads_raw,0.0,row_rate=0.000000
missing,uniq_reads,0.0,row_rate=0.000000
missing,map_ratio,0.0,row_rate=0.000000
missing,dup_ratio,0.0,row_rate=0.000000
missing,filt_ratio,0.0,row_rate=0.000000
missing,bmi,1.0,row_rate=0.001653
missing,week,0.0,row_rate=0.000000
missing,age,0.0,row_rate=0.000000
qc,flag_gc_events,23.0,
qc,flag_map_ratio_events,0.0,
qc,flag_dup_ratio_events,0.0,
qc,flag_filt_ratio_events,0.0,
qc,flag_any_events,23.0,
correlation,largest_absolute_pairwise_correlation,0.9952515675979612,pair=reads_raw::uniq_reads
