stratum,n,positive,tp,fp,tn,fn,sensitivity,specificity,ppv
亚型_T13,22,22,20,0,0,2,0.9090909090909091,,1.0
亚型_T18,45,45,42,0,0,3,0.9333333333333333,,1.0
亚型_T21,13,13,8,0,0,5,0.6153846153846154,,1.0
"孕周_(10.999, 16.0]",199,18,17,101,80,1,0.9444444444444444,0.4419889502762431,0.1440677966101695
"孕周_(16.0, 20.286]",171,21,17,86,64,4,0.8095238095238095,0.4266666666666667,0.1650485436893204
"孕周_(20.286, 28.429]",184,27,22,97,60,5,0.8148148148148148,0.3821656050955414,0.18487394957983194
"BMI_(25.593, 30.487]",186,18,15,91,77,3,0.8333333333333334,0.4583333333333333,0.14150943396226415
"BMI_(30.487, 32.769]",183,35,30,94,54,5,0.8571428571428571,0.36486486486486486,0.24193548387096775
"BMI_(32.769, 45.725]",184,13,11,99,72,2,0.8461538461538461,0.42105263157894735,0.1
QC正常,531,63,53,273,195,10,0.8412698412698413,0.4166666666666667,0.16257668711656442
QC可疑,23,3,3,11,9,0,1.0,0.45,0.21428571428571427
含技术重复,32,6,5,16,10,1,0.8333333333333334,0.38461538461538464,0.23809523809523808
无技术重复,522,60,51,268,194,9,0.85,0.4199134199134199,0.15987460815047022
全体,554,66,56,284,204,10,0.8484848484848485,0.4180327868852459,0.16470588235294117
