feature,normal_n,abnormal_n,normal_mean,abnormal_mean,normal_median,abnormal_median,mean_difference_abnormal_minus_normal,standardized_mean_difference,welch_t_p,mann_whitney_p,missing_n,welch_t_q,mann_whitney_q
z13,488,66,0.3528831601545424,0.24645629551515155,0.2323102735,0.104479221,-0.10642686463939086,-0.0853874688370348,0.5450546967505042,0.5946158796755756,0,0.6177286563172382,0.7220335681774847
z18,488,66,0.6455559017592213,0.7928393999570706,0.586049592,0.795063911,0.14728349819784936,0.12810618907150623,0.3102746503134622,0.2229341948622361,0,0.4738371105619079,0.5690664263059212
z21,488,66,-0.13858116217742486,0.010745804234848484,-0.1407151175,-0.0149735135,0.14932696641227333,0.1385607305952622,0.31296722671343985,0.2642741211419354,0,0.4738371105619079,0.5690664263059212
zx,488,66,0.42517113997182376,0.2333222458484848,0.519337309,0.375331682,-0.19184889412333897,-0.15847362940490364,0.33447325451428794,0.2677959653204335,0,0.4738371105619079,0.5690664263059212
x_conc,488,66,-0.004904779475751367,-0.022548773876262626,-0.0063334255,-0.0211381405,-0.01764399440051126,-1.0356973960442515,1.0090341168969654e-09,5.021843729232293e-12,0,1.7153579987248413e-08,8.537134339694897e-11
gc,488,66,0.401006309101776,0.40052407398989903,0.4010209,0.4010881,-0.0004822351118769497,-0.14173674079326862,0.3127304812488879,0.7353810677324015,0,0.4738371105619079,0.8334318767633884
gc13,488,66,0.37895218955788934,0.3804286928106061,0.37891341749999996,0.379583374,0.0014765032527167543,0.33217770674372327,0.2504144146398334,0.1605829675379009,0,0.4738371105619079,0.5690664263059212
gc18,488,66,0.3918813363247951,0.3928118979116162,0.391887486,0.3925468775,0.0009305615868210881,0.21907034319426785,0.4357283411948924,0.25321938586330217,0,0.5290987000223694,0.5690664263059212
gc21,488,66,0.40124194884784836,0.4015417788737374,0.40120273075,0.40150366725,0.0002998300258890141,0.058346883049810484,0.8307303298172543,0.9285118389718297,0,0.8307303298172543,0.9285118389718297
reads_raw,488,66,4772455.744364754,4646898.073232324,4615523.0,4467018.0,-125557.67113243043,-0.1279551330175419,0.23572749238521004,0.5693363686267774,0,0.4738371105619079,0.7220335681774847
uniq_reads,488,66,3602875.7534153005,3510268.1136363638,3476635.5,3409242.5,-92607.63977893675,-0.12341555488285548,0.2566100802310802,0.5906499887766218,0,0.4738371105619079,0.7220335681774847
map_ratio,488,66,0.7966822736926229,0.7970730087979798,0.8017502333333333,0.8018005,0.0003907351053569208,0.024004651090449088,0.8305084974531581,0.8086919016799505,0,0.8307303298172543,0.8592351455349474
dup_ratio,488,66,0.03029409787602459,0.02994396119191919,0.030175479999999998,0.03006242,-0.0003501366841053982,-0.1198722771084858,0.36301550391018195,0.5850056441200266,0,0.4747125820363918,0.7220335681774847
filt_ratio,488,66,0.023143141345628417,0.02736685566161616,0.022822033999999998,0.022361658,0.004223714315987743,0.4366744301806525,0.20726382631935894,0.4472937280550823,0,0.4738371105619079,0.7220335681774847
bmi,487,66,32.148066665359345,31.505462306060604,31.25,31.62820892,-0.6426043592987405,-0.22028278602915372,0.020349587235476887,0.5736092452487738,1,0.17297149150155353,0.7220335681774847
week,488,66,18.141100702576114,19.09090909090909,17.142857142857142,19.857142857142858,0.9498083883329755,0.21791091104946667,0.0880923034858905,0.0735539506001266,0,0.37882325366688824,0.5690664263059212
age,488,66,30.03073770491803,28.96969696969697,30.0,29.0,-1.061040735221063,-0.25176151942974995,0.08913488321573841,0.13734046754813192,0,0.37882325366688824,0.5690664263059212
