rule,n,positive_truth,predicted_positive,tp,fp,tn,fn,sensitivity,specificity,ppv,npv,f1,pr_auc,roc_auc,brier
z_gt_3_any,554,66,24,2,22,466,64,0.030303030303030304,0.9549180327868853,0.08333333333333333,0.879245283018868,0.04444444444444444,0.11804871822922365,0.49261053154495776,0.1552346570397112
abs_z_gt_3_any,554,66,29,4,25,463,62,0.06060606060606061,0.9487704918032787,0.13793103448275862,0.8819047619047619,0.08421052631578949,0.12027281403604073,0.5046882762046696,0.15703971119133575
z13_gt_3,554,66,11,2,9,479,64,0.030303030303030304,0.9815573770491803,0.18181818181818182,0.8821362799263351,0.05194805194805195,0.12103310757724936,0.5059302036761053,0.13176895306859207
abs_z13_gt_3,554,66,12,2,10,478,64,0.030303030303030304,0.9795081967213115,0.16666666666666666,0.8819188191881919,0.05128205128205128,0.12057397075447618,0.5049056135121709,0.13357400722021662
z18_gt_3,554,66,12,0,12,476,66,0.0,0.9754098360655737,0.0,0.8782287822878229,,0.11913357400722022,0.48770491803278687,0.1407942238267148
abs_z18_gt_3,554,66,12,0,12,476,66,0.0,0.9754098360655737,0.0,0.8782287822878229,,0.11913357400722022,0.48770491803278687,0.1407942238267148
z21_gt_3,554,66,0,0,0,488,66,0.0,1.0,,0.8808664259927798,,0.11913357400722022,0.5,0.11913357400722022
abs_z21_gt_3,554,66,2,1,1,487,65,0.015151515151515152,0.9979508196721312,0.5,0.8822463768115942,0.029411764705882356,0.12490427743135324,0.5065511674118232,0.11913357400722022
zx_gt_3,554,66,10,2,8,480,64,0.030303030303030304,0.9836065573770492,0.2,0.8823529411764706,0.052631578947368425,0.12158407176457718,0.5069547938400397,0.1299638989169675
abs_zx_gt_3,554,66,12,3,9,479,63,0.045454545454545456,0.9815573770491803,0.25,0.8837638376383764,0.07692307692307693,0.12508204791598293,0.5135059612518629,0.1299638989169675
