scenario,model,n_repeats,n_units,n_mothers,pr_auc_mean,pr_auc_sd,roc_auc_mean,sensitivity_mean,specificity_mean
baseline,rule_signedZ,5,554,147,0.13454546783955434,0.0,0.5393380526577248,0.8878787878787879,0.13811475409836066
baseline,rule_absZ,5,554,147,0.135534672048447,0.0,0.5131023348236463,0.8878787878787879,0.13032786885245903
baseline,logit_z,5,554,147,0.12591635516167857,0.011018421320035152,0.5207960755091903,0.8454545454545455,0.19959016393442625
baseline,logit_z_quality,5,554,147,0.4841560030088399,0.03651738166630476,0.7782352210630898,0.8484848484848484,0.41721311475409834
baseline,logit_all,5,554,147,0.47754198201041875,0.02944246926025218,0.7965660705414803,0.8272727272727274,0.5737704918032787
baseline,forest_all_depth3,5,554,147,0.31885915292526834,0.032179285903052295,0.7457401887729758,0.6818181818181819,0.7020491803278689
exclude_qc_flagged,rule_signedZ,5,531,147,0.13104842085475435,0.0,0.5293040293040293,0.8793650793650795,0.14145299145299145
exclude_qc_flagged,rule_absZ,5,531,147,0.13605369750679225,0.0,0.5025776692443359,0.8857142857142858,0.13076923076923078
exclude_qc_flagged,logit_z,5,531,147,0.14596468502330368,0.007999716269601128,0.5311355311355311,0.8380952380952381,0.23076923076923078
exclude_qc_flagged,logit_z_quality,5,531,147,0.4716668655903435,0.024580258036389916,0.7698412698412698,0.819047619047619,0.4585470085470085
exclude_qc_flagged,logit_all,5,531,147,0.4658574508802661,0.03318920860336765,0.791771808438475,0.8126984126984127,0.6085470085470085
exclude_qc_flagged,forest_all_depth3,5,531,147,0.34262422241195295,0.019248107732373978,0.7458960792294127,0.6603174603174603,0.735897435897436
row_level_wrong_unit,rule_signedZ,5,605,147,0.10989412017567426,0.0,0.5038561837651889,0.8746268656716417,0.12267657992565055
row_level_wrong_unit,rule_absZ,5,605,147,0.10949273120540018,0.0,0.47916551073628144,0.8955223880597014,0.11635687732342007
row_level_wrong_unit,logit_z,5,605,147,0.11708574221421215,0.008489288021160698,0.5144204627420518,0.8686567164179104,0.17323420074349444
row_level_wrong_unit,logit_z_quality,5,605,147,0.4784365911149783,0.030951812750733693,0.7793929978360984,0.8567164179104477,0.42713754646840146
row_level_wrong_unit,logit_all,5,605,147,0.48365778921915525,0.024517669484434262,0.8054652388614549,0.8567164179104477,0.5639405204460965
row_level_wrong_unit,forest_all_depth3,5,605,147,0.36347539161345205,0.013242381393300003,0.7740997614159684,0.7074626865671642,0.7122676579925651
first_draw_only,rule_signedZ,5,147,147,0.13886332610827523,0.0,0.5895061728395062,0.8666666666666666,0.0548148148148148
first_draw_only,rule_absZ,5,147,147,0.09970637885065087,0.0,0.5407407407407407,0.8666666666666666,0.19851851851851854
first_draw_only,logit_z,5,147,147,0.08925028638999095,0.03823243010966864,0.3974074074074074,0.6166666666666667,0.28740740740740744
first_draw_only,logit_z_quality,5,147,147,0.35195633488431366,0.026294888323901533,0.7670370370370371,0.6000000000000001,0.7970370370370371
first_draw_only,logit_all,5,147,147,0.27480967954915625,0.053148198007372846,0.7491358024691358,0.5833333333333333,0.8118518518518518
first_draw_only,forest_all_depth3,5,147,147,0.17825364768235707,0.02187818781614704,0.6958024691358025,0.38333333333333336,0.802962962962963
drop_bmi,logit_drop_bmi,5,554,147,0.4840414824621485,0.026323476446162935,0.7920019870839543,0.8303030303030303,0.5495901639344263
drop_person_features,logit_drop_person_features,5,554,147,0.4841560030088399,0.03651738166630476,0.7782352210630898,0.8484848484848484,0.41721311475409834
x_conc_only,logit_x_conc_only,5,554,147,0.40966202523827977,0.0012665607871377477,0.7578614008941879,0.8909090909090909,0.31762295081967207
class_weight=None,logit_all,5,554,147,0.47754198201041875,0.02944246926025218,0.7965660705414803,0.8272727272727274,0.5737704918032787
class_weight=balanced,logit_all,5,554,147,0.4773229117242582,0.02712269671325898,0.7988822652757079,0.7848484848484848,0.630327868852459
target_sensitivity=0.80,logit_all,5,554,147,0.47754198201041875,0.02944246926025218,0.7965660705414803,0.709090909090909,0.7168032786885246
target_sensitivity=0.90,logit_all,5,554,147,0.47754198201041875,0.02944246926025218,0.7965660705414803,0.8272727272727274,0.5737704918032787
target_sensitivity=0.95,logit_all,5,554,147,0.47754198201041875,0.02944246926025218,0.7965660705414803,0.9121212121212121,0.3901639344262295
