subtype,model,n_positive_events,pr_auc_mean,pr_auc_sd,roc_auc_mean,roc_auc_sd,sensitivity_mean,specificity_mean,ppv_mean,npv_mean,brier_mean,repeats,gap_vs_overall,noise_scale,beats_overall
T13,logit_z_quality,22,0.31050317226357116,0.03994509808910585,0.7667634996582364,0.028947653390690754,0.7545454545454545,0.5586466165413533,0.06611375415591762,0.9822575470882585,0.032817301219732066,5,0.016703479825809553,0.05840991181604647,False
T13,overall_logit_z_quality,22,0.2937996924377616,0.04261580618749382,0.8144907723855092,0.04519872352024636,0.9363636363636363,0.3988721804511278,0.06046858124013034,0.9936918502834073,0.04589183692371912,5,,,False
T13,logit_all,22,0.27352081351117985,0.04144777784780032,0.7416780587833219,0.01820337841651605,0.6272727272727272,0.6785714285714286,0.07494809696578128,0.9778735707135333,0.034544601427646454,5,-0.020278878926581756,0.05944766795704137,False
T13,rule_z_own,22,0.04324135130393314,0.0,0.4275461380724538,0.0,0.8909090909090909,0.0763157894736842,0.0383549666984236,0.9438974071438327,,5,-0.25055834113382847,0.04261580618749382,False
T18,logit_z_quality,45,0.4818731814528519,0.03150211334720238,0.8260292512551844,0.011975727064240946,0.8488888888888889,0.4950884086444008,0.12943943827342544,0.9737145375169766,0.0563714479870319,5,0.05785251506774314,0.04358420980709955,True
T18,logit_all,45,0.46160484266699137,0.029930930628867498,0.8265706177690462,0.010249387475626268,0.8577777777777778,0.5461689587426326,0.14318984704116294,0.9775377742267007,0.05748537182702743,5,0.0375841762818826,0.04246246351166363,False
T18,overall_logit_z_quality,45,0.42402066638510877,0.030119764261515834,0.8316699410609036,0.009659683756358697,0.9155555555555555,0.412180746561886,0.12112554918589755,0.9822326751017233,0.06114052172691805,5,,,False
T18,rule_z_own,45,0.10093869952692627,0.0,0.5811831477843266,0.0,0.8800000000000001,0.17013752455795678,0.08571222396254943,0.941560585652868,,5,-0.32308196685818247,0.030119764261515834,False
T21,logit_z_quality,13,0.17662486572597383,0.005298920027639266,0.4839186691312385,0.06179785589853728,0.6615384615384615,0.3234750462107209,0.02283920688646541,0.9761066632583659,0.020484836723058848,5,0.08006977571263514,0.04759652887296922,True
T21,logit_all,13,0.15851805151652493,0.03469985834422132,0.5617233044220106,0.06661620827638601,0.5076923076923077,0.6118299445471349,0.030853594964580143,0.9809172289104879,0.02148458556006876,5,0.06196296150318624,0.0586637126033215,True
T21,overall_logit_z_quality,13,0.09655509001333869,0.04730064489302525,0.5811460258780038,0.06368203668760256,0.6307692307692307,0.3859519408502773,0.024025240688583152,0.9776859036536756,0.048389704078000216,5,,,False
T21,rule_z_own,13,0.025593732384503652,0.0,0.4925351912412911,0.0,0.876923076923077,0.06617375231053604,0.022059937392398237,0.9556681012338839,,5,-0.07096135762883504,0.04730064489302525,False
