model,target,seed,fold,n_folds,threshold,policy
rule_signedZ,label,2026,0,5,-0.036915421,sensitivity_at_least_90
rule_signedZ,label,2026,1,5,0.249073396,sensitivity_at_least_90
rule_signedZ,label,2026,2,5,-0.036915421,sensitivity_at_least_90
rule_signedZ,label,2026,3,5,0.249073396,sensitivity_at_least_90
rule_signedZ,label,2026,4,5,-0.065656061,sensitivity_at_least_90
rule_signedZ,label,2027,0,5,0.249073396,sensitivity_at_least_90
rule_signedZ,label,2027,1,5,0.249073396,sensitivity_at_least_90
rule_signedZ,label,2027,2,5,-0.036915421,sensitivity_at_least_90
rule_signedZ,label,2027,3,5,-0.036915421,sensitivity_at_least_90
rule_signedZ,label,2027,4,5,-0.065656061,sensitivity_at_least_90
rule_signedZ,label,2028,0,5,-0.065656061,sensitivity_at_least_90
rule_signedZ,label,2028,1,5,-0.036915421,sensitivity_at_least_90
rule_signedZ,label,2028,2,5,0.249073396,sensitivity_at_least_90
rule_signedZ,label,2028,3,5,-0.036915421,sensitivity_at_least_90
rule_signedZ,label,2028,4,5,0.249073396,sensitivity_at_least_90
rule_signedZ,label,2029,0,5,-0.036915421,sensitivity_at_least_90
rule_signedZ,label,2029,1,5,-0.036915421,sensitivity_at_least_90
rule_signedZ,label,2029,2,5,-0.036915421,sensitivity_at_least_90
rule_signedZ,label,2029,3,5,0.249073396,sensitivity_at_least_90
rule_signedZ,label,2029,4,5,-0.036915421,sensitivity_at_least_90
rule_signedZ,label,2030,0,5,-0.098743485,sensitivity_at_least_90
rule_signedZ,label,2030,1,5,0.249073396,sensitivity_at_least_90
rule_signedZ,label,2030,2,5,0.257627154,sensitivity_at_least_90
rule_signedZ,label,2030,3,5,-0.065656061,sensitivity_at_least_90
rule_signedZ,label,2030,4,5,0.249073396,sensitivity_at_least_90
rule_absZ,label,2026,0,5,0.781106058,sensitivity_at_least_90
rule_absZ,label,2026,1,5,0.750698963,sensitivity_at_least_90
rule_absZ,label,2026,2,5,0.750698963,sensitivity_at_least_90
rule_absZ,label,2026,3,5,0.766987039,sensitivity_at_least_90
rule_absZ,label,2026,4,5,0.71126508,sensitivity_at_least_90
rule_absZ,label,2027,0,5,0.750698963,sensitivity_at_least_90
rule_absZ,label,2027,1,5,0.750698963,sensitivity_at_least_90
rule_absZ,label,2027,2,5,0.773451657,sensitivity_at_least_90
rule_absZ,label,2027,3,5,0.747832911,sensitivity_at_least_90
rule_absZ,label,2027,4,5,0.747832911,sensitivity_at_least_90
rule_absZ,label,2028,0,5,0.750698963,sensitivity_at_least_90
rule_absZ,label,2028,1,5,0.766987039,sensitivity_at_least_90
rule_absZ,label,2028,2,5,0.750698963,sensitivity_at_least_90
rule_absZ,label,2028,3,5,0.747832911,sensitivity_at_least_90
rule_absZ,label,2028,4,5,0.747832911,sensitivity_at_least_90
rule_absZ,label,2029,0,5,0.750698963,sensitivity_at_least_90
rule_absZ,label,2029,1,5,0.766987039,sensitivity_at_least_90
rule_absZ,label,2029,2,5,0.747832911,sensitivity_at_least_90
rule_absZ,label,2029,3,5,0.766987039,sensitivity_at_least_90
rule_absZ,label,2029,4,5,0.750698963,sensitivity_at_least_90
rule_absZ,label,2030,0,5,0.71126508,sensitivity_at_least_90
rule_absZ,label,2030,1,5,0.750698963,sensitivity_at_least_90
rule_absZ,label,2030,2,5,0.747832911,sensitivity_at_least_90
rule_absZ,label,2030,3,5,0.781106058,sensitivity_at_least_90
rule_absZ,label,2030,4,5,0.750698963,sensitivity_at_least_90
logit_z,label,2026,0,5,0.09966387358946457,sensitivity_at_least_90
logit_z,label,2026,1,5,0.0917601710496576,sensitivity_at_least_90
logit_z,label,2026,2,5,0.08019023491185971,sensitivity_at_least_90
logit_z,label,2026,3,5,0.10453429794629224,sensitivity_at_least_90
logit_z,label,2026,4,5,0.07802414793522841,sensitivity_at_least_90
logit_z,label,2027,0,5,0.0833190226578252,sensitivity_at_least_90
logit_z,label,2027,1,5,0.08532160696597908,sensitivity_at_least_90
logit_z,label,2027,2,5,0.08405949629849838,sensitivity_at_least_90
logit_z,label,2027,3,5,0.09952935961242451,sensitivity_at_least_90
logit_z,label,2027,4,5,0.09606672205422434,sensitivity_at_least_90
logit_z,label,2028,0,5,0.0702284600782704,sensitivity_at_least_90
logit_z,label,2028,1,5,0.0874337704665757,sensitivity_at_least_90
logit_z,label,2028,2,5,0.0887789360305691,sensitivity_at_least_90
logit_z,label,2028,3,5,0.09931190235268038,sensitivity_at_least_90
logit_z,label,2028,4,5,0.10130540083427415,sensitivity_at_least_90
logit_z,label,2029,0,5,0.09177431571672538,sensitivity_at_least_90
logit_z,label,2029,1,5,0.08372023435721682,sensitivity_at_least_90
logit_z,label,2029,2,5,0.09394856967081584,sensitivity_at_least_90
logit_z,label,2029,3,5,0.0977604040384891,sensitivity_at_least_90
logit_z,label,2029,4,5,0.09193653119312405,sensitivity_at_least_90
logit_z,label,2030,0,5,0.08290175050674577,sensitivity_at_least_90
logit_z,label,2030,1,5,0.10410192178181431,sensitivity_at_least_90
logit_z,label,2030,2,5,0.09106692479574108,sensitivity_at_least_90
logit_z,label,2030,3,5,0.08429480221164644,sensitivity_at_least_90
logit_z,label,2030,4,5,0.09322963407289729,sensitivity_at_least_90
logit_z_quality,label,2026,0,5,0.05282170010087894,sensitivity_at_least_90
logit_z_quality,label,2026,1,5,0.04338400920787045,sensitivity_at_least_90
logit_z_quality,label,2026,2,5,0.04040961340476218,sensitivity_at_least_90
logit_z_quality,label,2026,3,5,0.04188197598954827,sensitivity_at_least_90
logit_z_quality,label,2026,4,5,0.041580775481571824,sensitivity_at_least_90
logit_z_quality,label,2027,0,5,0.035181045979632966,sensitivity_at_least_90
logit_z_quality,label,2027,1,5,0.06251693325609035,sensitivity_at_least_90
logit_z_quality,label,2027,2,5,0.03735889350408371,sensitivity_at_least_90
logit_z_quality,label,2027,3,5,0.04556398404225049,sensitivity_at_least_90
logit_z_quality,label,2027,4,5,0.0483621506988563,sensitivity_at_least_90
logit_z_quality,label,2028,0,5,0.028773640896881468,sensitivity_at_least_90
logit_z_quality,label,2028,1,5,0.0626594411312183,sensitivity_at_least_90
logit_z_quality,label,2028,2,5,0.0528619312167321,sensitivity_at_least_90
logit_z_quality,label,2028,3,5,0.04401035968397534,sensitivity_at_least_90
logit_z_quality,label,2028,4,5,0.04872656705366614,sensitivity_at_least_90
logit_z_quality,label,2029,0,5,0.04449645726431736,sensitivity_at_least_90
logit_z_quality,label,2029,1,5,0.06412455596432783,sensitivity_at_least_90
logit_z_quality,label,2029,2,5,0.048773595823818267,sensitivity_at_least_90
logit_z_quality,label,2029,3,5,0.045903911968625796,sensitivity_at_least_90
logit_z_quality,label,2029,4,5,0.0480362483264717,sensitivity_at_least_90
logit_z_quality,label,2030,0,5,0.03630190843913084,sensitivity_at_least_90
logit_z_quality,label,2030,1,5,0.056967034419498325,sensitivity_at_least_90
logit_z_quality,label,2030,2,5,0.04394898642759693,sensitivity_at_least_90
logit_z_quality,label,2030,3,5,0.04797683225295141,sensitivity_at_least_90
logit_z_quality,label,2030,4,5,0.051292038125793735,sensitivity_at_least_90
logit_all,label,2026,0,5,0.07213002080879839,sensitivity_at_least_90
logit_all,label,2026,1,5,0.058640083979086106,sensitivity_at_least_90
logit_all,label,2026,2,5,0.05260927236533518,sensitivity_at_least_90
logit_all,label,2026,3,5,0.05425827120001334,sensitivity_at_least_90
logit_all,label,2026,4,5,0.05933378670479652,sensitivity_at_least_90
logit_all,label,2027,0,5,0.043108489011344335,sensitivity_at_least_90
logit_all,label,2027,1,5,0.08096404402593052,sensitivity_at_least_90
logit_all,label,2027,2,5,0.05707138799824658,sensitivity_at_least_90
logit_all,label,2027,3,5,0.07534731688779117,sensitivity_at_least_90
logit_all,label,2027,4,5,0.07093036523220111,sensitivity_at_least_90
logit_all,label,2028,0,5,0.032103801416245005,sensitivity_at_least_90
logit_all,label,2028,1,5,0.08713952439672779,sensitivity_at_least_90
logit_all,label,2028,2,5,0.08031485794247445,sensitivity_at_least_90
logit_all,label,2028,3,5,0.06383524743084559,sensitivity_at_least_90
logit_all,label,2028,4,5,0.05975778113547001,sensitivity_at_least_90
logit_all,label,2029,0,5,0.05554890523342104,sensitivity_at_least_90
logit_all,label,2029,1,5,0.06645544843094357,sensitivity_at_least_90
logit_all,label,2029,2,5,0.07855181352918139,sensitivity_at_least_90
logit_all,label,2029,3,5,0.0641781004779506,sensitivity_at_least_90
logit_all,label,2029,4,5,0.06227325272662739,sensitivity_at_least_90
logit_all,label,2030,0,5,0.042056819962620846,sensitivity_at_least_90
logit_all,label,2030,1,5,0.0806224794148593,sensitivity_at_least_90
logit_all,label,2030,2,5,0.057258347500425,sensitivity_at_least_90
logit_all,label,2030,3,5,0.06694012416598656,sensitivity_at_least_90
logit_all,label,2030,4,5,0.07000768259644961,sensitivity_at_least_90
forest_all_depth3,label,2026,0,5,0.4228674909678791,sensitivity_at_least_90
forest_all_depth3,label,2026,1,5,0.40980891966170424,sensitivity_at_least_90
forest_all_depth3,label,2026,2,5,0.42998974367354414,sensitivity_at_least_90
forest_all_depth3,label,2026,3,5,0.4145796282458136,sensitivity_at_least_90
forest_all_depth3,label,2026,4,5,0.4199096086741806,sensitivity_at_least_90
forest_all_depth3,label,2027,0,5,0.39985152473522534,sensitivity_at_least_90
forest_all_depth3,label,2027,1,5,0.4375594726758854,sensitivity_at_least_90
forest_all_depth3,label,2027,2,5,0.4194200091853648,sensitivity_at_least_90
forest_all_depth3,label,2027,3,5,0.4076438484051811,sensitivity_at_least_90
forest_all_depth3,label,2027,4,5,0.42118012965389134,sensitivity_at_least_90
forest_all_depth3,label,2028,0,5,0.44550155534949604,sensitivity_at_least_90
forest_all_depth3,label,2028,1,5,0.4314931869330725,sensitivity_at_least_90
forest_all_depth3,label,2028,2,5,0.4239454371063592,sensitivity_at_least_90
forest_all_depth3,label,2028,3,5,0.39659449147427767,sensitivity_at_least_90
forest_all_depth3,label,2028,4,5,0.43728050414635256,sensitivity_at_least_90
forest_all_depth3,label,2029,0,5,0.429521574954551,sensitivity_at_least_90
forest_all_depth3,label,2029,1,5,0.436682463850613,sensitivity_at_least_90
forest_all_depth3,label,2029,2,5,0.4313437537601337,sensitivity_at_least_90
forest_all_depth3,label,2029,3,5,0.4181177768817251,sensitivity_at_least_90
forest_all_depth3,label,2029,4,5,0.4221350039218658,sensitivity_at_least_90
forest_all_depth3,label,2030,0,5,0.42879451861586243,sensitivity_at_least_90
forest_all_depth3,label,2030,1,5,0.41770854783993644,sensitivity_at_least_90
forest_all_depth3,label,2030,2,5,0.4299535577373372,sensitivity_at_least_90
forest_all_depth3,label,2030,3,5,0.4369901638002133,sensitivity_at_least_90
forest_all_depth3,label,2030,4,5,0.4069976677426419,sensitivity_at_least_90
